"","Subject","trial","exploration_time_apparatus_reli","exploration_time_distractor1_reli","exploration_time_distractor2_reli","exploration_time_target_reli","exploration_time_apparatus","exploration_time_target","phase_occlusion_exp","phase_solidity_exp","phase_support_exp","exploration_time_distractor1","exploration_time_distractor2","looking_time_apparatus_look","exploration_time_distractor_reli","exploration_time_distractor"
"1","Alou","occlusion_exp",3.633333333,0.616666667,0.4,0.949999999,1.466666667,1.383333333,181.9,NA,NA,1.1,0.583333333,NA,1.016666667,1.683333333
"2","Crash","occlusion_exp",2.433332768,2.183332826,0.699999837,0.899999791,1.933332884,0.466666558,182.7666242,NA,NA,2.366666117,0.599999861,NA,2.883332663,2.966665978
"3","Filou8","occlusion_exp",18.833333334,42.9,11.65,39.23333333,13.866666667,35.46666667,181.65,NA,NA,34.949999997,9.166666666,NA,54.55,44.116666663
"4","Finn8","occlusion_exp",1.416666346,1.016666436,0.883333133,0.849999808,0.949999785,0.783333156,183.2999585,NA,NA,0.63333319,0.599999864,NA,1.899999569,1.233333054
"5","Grace2","occlusion_exp",11.033325729,3.683330795,4.283330381,61.34995772,19.36665332,60.149958553,191.2332016,NA,NA,1.41666569,5.399996279,NA,7.966661176,6.816661969
"6","Kobe","occlusion_exp",0,0,0,0,0,0,183.8166268,NA,NA,0,0,NA,0,0
"7","Lea3","occlusion_exp",5.299998778,5.099998824,1.616666294,3.216665924,7.533331596,3.283332576,182.6166246,NA,NA,4.099999056,1.183333061,NA,6.716665118,5.283332117
"8","Leni5","occlusion_exp",0,0,0,0,0,0,181.9666667,NA,NA,0,0,NA,0,0
"9","Manni2","occlusion_exp",12.816663309,4.849998729,0,0,10.383330613,0.383333233,181.3332858,NA,NA,4.34999886,0,NA,4.849998729,4.34999886
"10","Maya","occlusion_exp",1.433333333,2.183333333,0.633333333,3.466666666,1.666666667,1.466666667,183.3833333,NA,NA,1.15,0.55,NA,2.816666666,1.7
"11","Ronja7","occlusion_exp",2.183333333,2.233333333,2.75,124.16666666,3.25,130.349999997,188.4,NA,NA,1.716666666,1.216666667,NA,4.983333333,2.933333333
"12","Ronja8","occlusion_exp",0,1.099999763,0,158.08329928,0,156.1332997,178.7499615,NA,NA,2.033332895,2.583332777,NA,1.099999763,4.616665672
"13","Samba2","occlusion_exp",15.749996058,4.666665499,12.716663482,17.416662308,6.816664961,13.749996559,182.3832877,NA,NA,1.7333329,11.8666637,NA,17.383328981,13.5999966
"14","Samira","occlusion_exp",1.1,2.5,2.766666666,122.299999999,0,127.850000007,183.1166667,NA,NA,0.866666667,1.45,NA,5.266666666,2.316666667
