"","Subject","trial","first_choice_target_reli","exploration_time_apparatus","exploration_time_target","phase_occlusion_exp","exploration_time_distractor1","exploration_time_distractor2","first_choice_target"
"1","Alou","occlusion_exp",0,339.5833333,332.9,318.7166667,319.0833333,356.8333333,0
"2","Crash","occlusion_exp",0,315.73326,306.883262,302.8832629,306.2165955,307.5832619,0
"3","Filou8","occlusion_exp",0,314.1166667,271.2,269.4333333,270.5833333,323.8333333,0
"4","Finn8","occlusion_exp",1,287.3166016,271.7499385,270.0999389,285.1499355,272.5332717,1
"5","Grace2","occlusion_exp",1,363.2664163,309.4831201,291.9164655,317.1664481,313.3497841,1
"6","Kobe","occlusion_exp",0,NA,999999,470.3832314,999999,999999,0
"7","Lea3","occlusion_exp",0,384.9499112,326.7665913,324.8665918,325.4999249,326.3165914,0
"8","Leni5","occlusion_exp",0,NA,999999,224.1833333,999999,999999,0
"9","Manni2","occlusion_exp",0,235.1832717,320.0999161,231.5499393,232.6332724,999999,0
"10","Maya","occlusion_exp",1,364.2166667,276.8333333,270.55,281.9,284.1166667,1
"11","Ronja7","occlusion_exp",1,517.4833333,348.7666667,348.3666667,380.2333333,415.4333333,1
"12","Ronja8","occlusion_exp",1,NA,424.8665751,420.3165761,420.7332427,422.1665757,0
"13","Samba2","occlusion_exp",1,269.6999325,261.5499345,261.2166013,264.933267,341.0999146,1
"14","Samira","occlusion_exp",0,NA,236.1833333,233.2833333,234.25,237.5,0
